Image,ID,SPECIES,BREED ID,nID,class
american_bulldog_100,2,2,1,1,American Bulldog
american_bulldog_101,2,2,1,1,American Bulldog
american_bulldog_102,2,2,1,1,American Bulldog
american_bulldog_103,2,2,1,1,American Bulldog
american_bulldog_104,2,2,1,1,American Bulldog
american_bulldog_105,2,2,1,1,American Bulldog
american_bulldog_106,2,2,1,1,American Bulldog
american_bulldog_107,2,2,1,1,American Bulldog
american_bulldog_108,2,2,1,1,American Bulldog
american_bulldog_109,2,2,1,1,American Bulldog
american_bulldog_10,2,2,1,1,American Bulldog
american_bulldog_110,2,2,1,1,American Bulldog
american_bulldog_111,2,2,1,1,American Bulldog
american_bulldog_112,2,2,1,1,American Bulldog
american_bulldog_113,2,2,1,1,American Bulldog
american_bulldog_114,2,2,1,1,American Bulldog
american_bulldog_115,2,2,1,1,American Bulldog
american_bulldog_116,2,2,1,1,American Bulldog
american_bulldog_117,2,2,1,1,American Bulldog
american_bulldog_118,2,2,1,1,American Bulldog
american_bulldog_119,2,2,1,1,American Bulldog
american_bulldog_11,2,2,1,1,American Bulldog
american_bulldog_120,2,2,1,1,American Bulldog
american_bulldog_121,2,2,1,1,American Bulldog
american_bulldog_122,2,2,1,1,American Bulldog
american_bulldog_123,2,2,1,1,American Bulldog
american_bulldog_124,2,2,1,1,American Bulldog
american_bulldog_125,2,2,1,1,American Bulldog
american_bulldog_126,2,2,1,1,American Bulldog
american_bulldog_127,2,2,1,1,American Bulldog
american_bulldog_128,2,2,1,1,American Bulldog
american_bulldog_129,2,2,1,1,American Bulldog
american_bulldog_12,2,2,1,1,American Bulldog
american_bulldog_130,2,2,1,1,American Bulldog
american_bulldog_131,2,2,1,1,American Bulldog
american_bulldog_132,2,2,1,1,American Bulldog
american_bulldog_133,2,2,1,1,American Bulldog
american_bulldog_134,2,2,1,1,American Bulldog
american_bulldog_135,2,2,1,1,American Bulldog
american_bulldog_136,2,2,1,1,American Bulldog
american_bulldog_137,2,2,1,1,American Bulldog
american_bulldog_138,2,2,1,1,American Bulldog
american_bulldog_139,2,2,1,1,American Bulldog
american_bulldog_13,2,2,1,1,American Bulldog
american_bulldog_140,2,2,1,1,American Bulldog
american_bulldog_141,2,2,1,1,American Bulldog
american_bulldog_142,2,2,1,1,American Bulldog
american_bulldog_143,2,2,1,1,American Bulldog
american_bulldog_144,2,2,1,1,American Bulldog
american_bulldog_146,2,2,1,1,American Bulldog
american_pit_bull_terrier_100,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_101,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_102,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_103,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_104,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_105,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_106,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_107,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_108,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_109,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_10,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_110,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_111,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_112,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_113,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_114,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_115,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_116,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_117,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_118,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_119,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_11,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_120,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_121,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_122,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_123,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_124,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_125,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_126,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_127,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_128,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_129,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_12,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_130,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_131,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_132,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_133,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_134,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_135,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_136,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_137,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_138,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_139,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_13,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_140,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_141,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_142,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_143,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_144,3,2,2,2,American Pit Bull Terrier
american_pit_bull_terrier_145,3,2,2,2,American Pit Bull Terrier
basset_hound_100,4,2,3,3,Basset Hound
basset_hound_101,4,2,3,3,Basset Hound
basset_hound_102,4,2,3,3,Basset Hound
basset_hound_103,4,2,3,3,Basset Hound
basset_hound_104,4,2,3,3,Basset Hound
basset_hound_105,4,2,3,3,Basset Hound
basset_hound_106,4,2,3,3,Basset Hound
basset_hound_107,4,2,3,3,Basset Hound
basset_hound_108,4,2,3,3,Basset Hound
basset_hound_109,4,2,3,3,Basset Hound
basset_hound_10,4,2,3,3,Basset Hound
basset_hound_110,4,2,3,3,Basset Hound
basset_hound_111,4,2,3,3,Basset Hound
basset_hound_112,4,2,3,3,Basset Hound
basset_hound_113,4,2,3,3,Basset Hound
basset_hound_114,4,2,3,3,Basset Hound
basset_hound_115,4,2,3,3,Basset Hound
basset_hound_116,4,2,3,3,Basset Hound
basset_hound_117,4,2,3,3,Basset Hound
basset_hound_118,4,2,3,3,Basset Hound
basset_hound_119,4,2,3,3,Basset Hound
basset_hound_11,4,2,3,3,Basset Hound
basset_hound_120,4,2,3,3,Basset Hound
basset_hound_121,4,2,3,3,Basset Hound
basset_hound_122,4,2,3,3,Basset Hound
basset_hound_123,4,2,3,3,Basset Hound
basset_hound_124,4,2,3,3,Basset Hound
basset_hound_125,4,2,3,3,Basset Hound
basset_hound_126,4,2,3,3,Basset Hound
basset_hound_127,4,2,3,3,Basset Hound
basset_hound_128,4,2,3,3,Basset Hound
basset_hound_129,4,2,3,3,Basset Hound
basset_hound_12,4,2,3,3,Basset Hound
basset_hound_130,4,2,3,3,Basset Hound
basset_hound_131,4,2,3,3,Basset Hound
basset_hound_132,4,2,3,3,Basset Hound
basset_hound_133,4,2,3,3,Basset Hound
basset_hound_134,4,2,3,3,Basset Hound
basset_hound_135,4,2,3,3,Basset Hound
basset_hound_136,4,2,3,3,Basset Hound
basset_hound_137,4,2,3,3,Basset Hound
basset_hound_138,4,2,3,3,Basset Hound
basset_hound_139,4,2,3,3,Basset Hound
basset_hound_13,4,2,3,3,Basset Hound
basset_hound_140,4,2,3,3,Basset Hound
basset_hound_141,4,2,3,3,Basset Hound
basset_hound_142,4,2,3,3,Basset Hound
basset_hound_143,4,2,3,3,Basset Hound
basset_hound_144,4,2,3,3,Basset Hound
basset_hound_145,4,2,3,3,Basset Hound
beagle_100,5,2,4,4,Beagle
beagle_101,5,2,4,4,Beagle
beagle_102,5,2,4,4,Beagle
beagle_103,5,2,4,4,Beagle
beagle_104,5,2,4,4,Beagle
beagle_105,5,2,4,4,Beagle
beagle_107,5,2,4,4,Beagle
beagle_108,5,2,4,4,Beagle
beagle_109,5,2,4,4,Beagle
beagle_10,5,2,4,4,Beagle
beagle_110,5,2,4,4,Beagle
beagle_111,5,2,4,4,Beagle
beagle_112,5,2,4,4,Beagle
beagle_113,5,2,4,4,Beagle
beagle_114,5,2,4,4,Beagle
beagle_115,5,2,4,4,Beagle
beagle_116,5,2,4,4,Beagle
beagle_117,5,2,4,4,Beagle
beagle_118,5,2,4,4,Beagle
beagle_119,5,2,4,4,Beagle
